"Platform","Release.Year","Games","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
"2600",1980,9,10.59,0.67,0,0.12
"2600",1981,46,33.4,1.96,0,0.32
"2600",1982,36,26.92,1.65,0,0.31
"2600",1983,11,5.44,0.34,0,0.06
"2600",1984,1,0.26,0.01,0,0
"2600",1985,1,0.42,0.03,0,0
"2600",1986,2,0.63,0.04,0,0
"2600",1987,6,1.84,0.09,0,0.01
"2600",1988,2,0.69,0.04,0,0.01
"2600",1989,2,0.59,0.03,0,0.01
"3DO",1994,1,0,0,0.02,0
"3DO",1995,2,0,0,0.08,0
"3DS",2011,116,26.98,18.42,12.8,4.38
"3DS",2012,93,17.04,11.59,19.92,2.55
"3DS",2013,91,15.33,14.34,23.52,2.67
"3DS",2014,79,12.03,8.61,20.64,1.84
"3DS",2015,86,5.82,4.77,15.39,0.99
"3DS",2016,35,0.83,0.57,5.03,0.12
"DC",1998,7,1.26,0.61,1.43,0.08
"DC",1999,14,1.64,0.29,3.17,0.06
"DC",2000,20,2.53,0.79,2.54,0.13
"DC",2001,8,0,0,1.07,0
"DC",2002,1,0,0,0.29,0
"DC",2007,1,0,0,0.02,0
"DC",2008,1,0,0,0.04,0
"DS",1985,1,0,0,0.02,0
"DS",2004,23,8.42,3.97,3.65,1.37
"DS",2005,118,48.47,42.06,29.86,10.91
"DS",2006,202,50.63,23.53,38.56,8.28
"DS",2007,377,76.36,34.58,26.81,11.27
"DS",2008,492,79.4,33.05,24.01,11.16
"DS",2009,405,62.41,26.52,24.21,8.73
"DS",2010,326,42.36,20.07,19.86,5.73
"DS",2011,153,15.29,6.18,4.32,2.02
"DS",2012,25,4.21,3.04,3.72,0.63
"DS",2013,9,0.72,1.07,0,0.17
"DS",2014,1,0.02,0,0,0
"GB",1988,1,0.82,0.23,0.35,0.03
"GB",1989,10,39.81,7.6,16.16,1.4
"GB",1990,3,2.24,0.89,1.33,0.43
"GB",1991,9,1.43,0.68,3.38,0.08
"GB",1992,7,13.1,4.24,7.51,0.64
"GB",1994,3,6.03,2.36,3.19,0.6
"GB",1995,4,0.69,0.14,2.72,0.05
"GB",1996,6,12.66,9.37,12.91,1.09
"GB",1997,8,2.09,0.9,3.26,0.12
"GB",1998,8,9.44,7,9.55,0.91
"GB",1999,11,16.21,8.91,11.75,1.13
