"Platform","Games","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
"2600",133,90.6,5.47,0,0.91
"3DO",3,0,0,0.1,0
"3DS",509,78.87,58.52,97.35,12.63
"DC",52,5.43,1.69,8.56,0.27
"DS",2163,390.71,194.65,175.57,60.53
"GB",98,114.32,47.82,85.12,8.2
"GBA",822,187.54,75.25,47.33,7.73
"GC",556,133.46,38.71,21.58,5.18
"GEN",27,19.27,5.52,2.67,0.89
"GG",1,0,0,0.04,0
"N64",319,139.02,41.06,34.22,4.38
"NES",98,125.94,21.15,98.65,5.31
"NG",12,0,0,1.44,0
"PC",960,93.28,139.68,0.17,24.86
"PCFX",1,0,0,0.03,0
"PS",1196,336.51,213.6,139.82,40.91
"PS2",2161,583.84,339.29,139.2,193.44
"PS3",1329,392.26,343.71,79.99,141.93
"PS4",336,96.8,123.7,14.3,43.36
"PSP",1213,108.99,68.25,76.79,42.19
"PSV",413,16.2,16.33,20.96,8.45
"SAT",173,0.72,0.54,32.26,0.07
"SCD",6,1,0.36,0.45,0.05
"SNES",239,61.23,19.04,116.55,3.22
"TG16",2,0,0,0.16,0
"Wii",1325,507.71,268.38,69.35,80.61
"WiiU",143,38.32,24.23,12.79,6.45
"WS",6,0,0,1.42,0
"X360",1265,601.05,280.58,12.43,85.54
"XB",824,186.69,60.95,1.38,8.72
"XOne",213,83.19,45.65,0.34,11.92
