"Day","Users","Average.Minutes.In.Game","Users.Class.Druid","Users.Class.Hunter","Users.Class.Mage","Users.Class.Paladin","Users.Class.Priest","Users.Class.Rogue","Users.Class.Shaman","Users.Class.Warlock","Users.Class.Warrior","Users.Class.Death Knight","Users.Race.Blood Elf","Users.Race.Orc","Users.Race.Tauren","Users.Race.Troll","Users.Race.Undead"
"01/01/2008",2512,205.171178343949,196,362,356,254,262,284,177,315,309,NA,777,253,510,295,677
"01/02/2008",2175,171.820689655172,171,305,310,213,244,219,151,285,280,NA,665,232,442,263,575
"01/03/2008",2079,160.957190957191,164,290,293,181,227,227,154,278,265,NA,622,215,432,259,551
"01/04/2008",2188,180.781535648995,164,307,309,219,243,241,160,274,272,NA,674,225,436,291,562
"01/05/2008",2424,215.350660066007,181,373,342,235,274,237,166,305,312,NA,774,254,499,300,598
"01/06/2008",2491,220.264953833802,202,354,349,252,280,250,175,321,310,NA,779,259,516,300,637
"01/07/2008",2238,173.445040214477,186,312,300,208,265,230,158,293,288,NA,680,236,465,265,593
"01/08/2008",2191,172.902784116842,168,316,313,222,255,222,148,280,267,NA,695,221,425,253,597
"01/09/2008",2216,165.663357400722,166,320,305,215,254,232,159,288,278,NA,688,232,450,256,590
"01/10/2008",1953,147.357910906298,148,293,281,190,212,205,147,239,238,NA,608,200,415,238,492
"01/11/2008",2274,172.471416007036,169,340,333,228,247,228,173,295,262,NA,735,234,454,282,569
"01/12/2008",2497,194.949939927914,189,373,356,240,280,255,190,313,303,NA,778,268,500,298,655
"01/13/2008",2571,209.922209257098,204,355,378,245,294,276,187,328,304,NA,799,249,519,310,694
"01/14/2008",2224,177.036870503597,184,315,302,211,261,233,170,270,281,NA,668,244,472,274,570
"01/15/2008",2273,169.177298724153,180,314,334,211,270,251,155,282,279,NA,719,231,456,265,603
"01/16/2008",2297,161.932956029604,175,326,327,223,264,248,169,301,265,NA,735,229,460,275,599
"01/17/2008",2127,164.616831217677,168,300,299,193,239,219,151,283,275,NA,670,210,447,251,549
"01/18/2008",2375,175.098947368421,180,341,334,222,267,255,158,307,311,NA,740,239,496,266,635
